Unnamed: 0,Volume,Last,Chg,% Chg
Yiren Digital Ltd. ADR (YRD),118.1K,7.29,0.41,5.96
Eos Energy Enterprises Inc. (EOSE),3.6M,4.0,0.23,5.95
European Wax Center Inc. (EWCZ),508.8K,4.18,0.23,5.82
M-tron Industries Inc. (MPTI),65.8K,47.12,2.58,5.78
Plutus Financial Group Ltd. (PLUT),70.1K,2.75,0.15,5.77
Marwynn Holdings Inc. (MWYN),272.0K,4.41,0.24,5.76
Kolibri Global Energy Inc. (KGEI),108.5K,8.87,0.48,5.72
TeraWulf Inc. (WULF),30.4M,2.88,0.15,5.68
Daktronics Inc. (DAKT),608.5K,12.87,0.69,5.67
Genie Energy Ltd. (GNE),66.6K,15.9,0.85,5.65
Hims & Hers Health Inc. (HIMS),42.6M,31.19,1.64,5.55
IonQ Inc. (IONQ),21.1M,23.29,1.22,5.53
Duolingo Inc. (DUOL),491.7K,327.62,17.07,5.5
Centuri Holdings Inc. (CTRI),163.6K,17.29,0.9,5.49
Ezcorp Inc. Cl A (EZPW),4.3M,15.52,0.81,5.47
